Number of Required CFS,Size,Dissimilarity Distance,Dissimilarity Count,Actionability,Diversity Distance,Diversity Count,Runtime
1,1.0,2.141510527595063,0.3,1.0,0.0,0.0,1366.3411391519985
2,1.0,35.91996676758205,0.3,1.0,34.973065262623045,0.11764705882352941,1366.3411391519985
3,1.0,24.585238061250777,0.26666666666666666,1.0,31.12777366914477,0.13071895424836602,1366.3411391519985
4,1.0,18.998545419566252,0.275,1.0,26.36057552225828,0.14705882352941177,1366.3411391519985
5,1.0,15.696250913768939,0.27999999999999997,1.0,22.63060498904674,0.15058823529411763,1366.3411391519985
6,1.0,13.501018189166219,0.31666666666666665,1.0,19.74529189395046,0.1830065359477124,1366.3411391519985
7,1.0,28.266198163648472,0.3142857142857143,1.0,39.87283190332018,0.18247298919567828,1366.3411391519985
8,1.0,31.656687135266196,0.3375,1.0,41.495445784827226,0.20772058823529413,1366.3411391519985
9,1.0,40.94195372614417,0.33333333333333337,1.0,49.73710558344991,0.20915032679738563,1366.3411391519985
10,1.0,37.13972338990381,0.32999999999999996,1.0,47.497719736261246,0.20941176470588235,1366.3411391519985
11,1.0,44.15932886753267,0.32727272727272727,1.0,52.682034371566694,0.21487603305785125,1366.3411391519985
12,1.0,40.64599523687978,0.325,1.0,50.87431505922065,0.21650326797385622,1366.3411391519985
13,1.0,37.67407428010118,0.3230769230769231,1.0,48.98445352214551,0.21858684302123216,1366.3411391519985
14,1.0,35.13087731084876,0.32142857142857145,1.0,47.09178611000426,0.21608643457382953,1366.3411391519985
15,1.0,32.99059047451072,0.33333333333333337,1.0,45.32113764278479,0.225359477124183,1366.3411391519985
16,1.0,31.119768131694173,0.34375,1.0,43.60768506866398,0.2348345588235294,1366.3411391519985
17,1.0,36.10043959930641,0.3529411764705882,1.0,48.17362642857932,0.23855078363525342,1366.3411391519985
18,1.0,40.60280363802585,0.3611111111111111,1.0,51.50396484375759,0.24146695715323166,1366.3411391519985
19,1.0,38.63123462003797,0.3684210526315789,1.0,50.19488056526957,0.24539677366791593,1366.3411391519985
20,1.0,42.556939813322096,0.38,1.0,52.788771355005565,0.25058823529411767,1366.3411391519985
